summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,queue,date
tQy5a12QV3xqOwtoctKL-vU83o3l4CZJyVF97sfDoHmlSg,CNB salge,429,I,194,166,False,False,False,False,challenger,14/03/2021
ZxoxOCSwp2sWypDuK5GxLGz4qVTl75vLsxixuOXKQigbf04,Olkaida,395,I,82,65,False,False,True,False,challenger,14/03/2021
NJngN9xSmw28SkowTHlxj8MM8nWiA9RZGNpceIUHOTHmhYw,OU LORD,364,I,128,112,True,False,False,False,challenger,14/03/2021
MFiGb8WyTQqOFjaYc1DTZeeccFDcKMBSbdmiuQZr6b8qxA,Crjay,584,I,210,199,False,False,False,False,challenger,14/03/2021
MAbKSDmXyF6_5T9X76EGt2bTG6kdk7llHZhhzceq7HQ3aKM,jgrookie1,585,I,210,183,False,False,False,False,challenger,14/03/2021
Gqptsj7VTRaLaO0E5zttLnrJP5TxyR__zusJSti2B9dx4Q,SmaII,416,I,52,42,False,False,False,False,challenger,14/03/2021
55SG-VxKS5juIBsBS3xap1g2eGV_MnzKSw1bZmNH4iE1VIw,Não seja trolo,387,I,51,36,False,False,False,False,challenger,14/03/2021
GigIBm1o_WXnU-4Iidcgm0Ormmi1gzRdITlFJzFS5sguRaA,Yiok sem Rage,386,I,198,115,False,False,False,True,challenger,14/03/2021
QFVBxtz7S9kRV83GuruEpqXLGfYRHLCNaBgyxlkEjJevdII,ayato,556,I,50,35,False,False,False,False,challenger,14/03/2021
1JvbHJ5346ktl1K-cySVEmxO0F5Z-WF9fvR5ecm0CnVGpg,Minerva,433,I,203,194,False,False,False,False,challenger,14/03/2021
M-UTXcNJd6BtMfS5tf-HPakdkSGqoNwxr6CvQr3l4J9jsA,Magus Deds,646,I,517,492,True,False,False,False,challenger,14/03/2021
5uIpVYSMPYuk9ALs_E8qaDUKIlnIex1TtANroJFEm49WECg,Road,349,I,102,85,False,False,True,False,challenger,14/03/2021
hiCF_mITLy2qXDOJ2RsVp4yM8FC5SsLoHaKaZuhthQ1RFw,KR BBQ,482,I,141,123,False,False,True,False,challenger,14/03/2021
oaZoHFubfwJX7kGFYF9rnha2_xOG60M1nOCXG2sRITZ1Des,7zx,352,I,103,63,False,False,False,False,challenger,14/03/2021
mJo84dW6Sab2as6dwm-jT8EMNdDTH9QwkbuMML1gSkU9Cg,Pauli,354,I,66,48,False,False,False,False,challenger,14/03/2021
t_qCJRh0LsHnuv8Tb5JnKqTm5Yx_vpink1kbdNwQwzUB1Q,Hidden Player,360,I,173,167,True,False,False,False,challenger,14/03/2021
HibMn1Kj8vfI3cQ1qj9vs2LTDRKxDf0oBKWqOaksvgOI,killavock,494,I,115,97,False,False,False,False,challenger,14/03/2021
mUVzNtbD5dtBlP5XDeHw3Dgw1nvLpWeBrFOKXyZfAwSN3_I,Rosa do Deserto,343,I,79,72,False,False,False,False,challenger,14/03/2021
wcyUaJYGm1xVKL0tc0vPFLVtGKQV7ICT3rGVApQBfsWsv8Q,YDOBONX,555,I,76,61,False,False,False,False,challenger,14/03/2021
